Series_reference,Period,Type,Data_value,Lower_CI,Upper_CI,Units,Indicator,Cause,Validation,Population,Age,Severity
W_W14,2010-12,Moving average,4.26733795,3.734556565,4.800119336,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2011-13,Moving average,3.657897176,3.161395925,4.154398428,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2012-14,Moving average,2.496163358,2.092060723,2.900265994,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2013-15,Moving average,2.268295059,1.892985766,2.643604352,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2014-16,Moving average,2.140706794,1.787288251,2.494125336,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2015-17,Moving average,2.201305732,1.84739203,2.555219435,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2016-18,Moving average,2.195325919,1.847021693,2.543630145,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2017-19,Moving average,2.395034206,2.032636018,2.757432393,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2018-20,Moving average,2.256047563,1.906486186,2.60560894,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2019-21,Moving average,2.254428145,1.90252938,2.606326911,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
W_W14,2020-22,Moving average,1.885831092,1.570121865,2.201540318,"Per 100,000 FTEs",Age-standardised rate,Work,Validated,Whole pop,All ages,Fatal
M_S11,2000-02,Moving average,79.66666667,69.56656404,89.7667693,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2001-03,Moving average,82,71.75305536,92.24694464,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2002-04,Moving average,92.33333333,81.45989938,103.2067673,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2003-05,Moving average,100.6666667,89.31315246,112.0201809,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2004-06,Moving average,107.6666667,95.9250446,119.4082887,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2005-07,Moving average,103.6666667,92.14521955,115.1881138,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2006-08,Moving average,97.66666667,86.48360689,108.8497264,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2007-09,Moving average,89.33333333,78.63800224,100.0286644,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2008-10,Moving average,90.66666667,79.89181529,101.441518,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2009-11,Moving average,99.33333333,88.05525859,110.6114081,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2010-12,Moving average,111.3333333,99.39345037,123.2732163,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2011-13,Moving average,112,100.0244222,123.9755778,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2012-14,Moving average,105.3333333,93.71963937,116.9470273,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2013-15,Moving average,105,93.4046967,116.5953033,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2014-16,Moving average,115.3333333,103.1808542,127.4858125,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2015-17,Moving average,132,118.9990697,145.0009303,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2016-18,Moving average,138.6666667,125.3414739,151.9918595,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S11,2017-19,Moving average,150.3333333,136.4589047,164.207762,Injuries,Number,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2000-02,Moving average,13.52233735,11.80464242,15.24003228,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2001-03,Moving average,13.76102258,12.04072805,15.4813171,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2002-04,Moving average,15.31232725,13.50910437,17.11555013,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2003-05,Moving average,16.49166458,14.63133432,18.35199484,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2004-06,Moving average,17.40395702,15.50471207,19.30320198,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2005-07,Moving average,16.55642203,14.71379047,18.39905359,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2006-08,Moving average,15.18980386,13.44622385,16.93338387,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2007-09,Moving average,13.48488822,11.8644265,15.10534994,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2008-10,Moving average,13.2772599,11.69203151,14.86248829,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2009-11,Moving average,14.2089008,12.58620213,15.83159946,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2010-12,Moving average,15.69765149,14.00246045,17.39284252,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2011-13,Moving average,15.62333324,13.93889088,17.30777559,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2012-14,Moving average,14.51756515,12.90139372,16.13373658,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2013-15,Moving average,14.25387211,12.66066302,15.8470812,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2014-16,Moving average,15.20865579,13.58310722,16.83420436,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2015-17,Moving average,16.818579,15.13555372,18.50160429,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2016-18,Moving average,17.3092638,15.6183,19.0002276,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_S12,2017-19,Moving average,18.38721529,16.66140404,20.11302655,"Per 100,000 people",Age-standardised rate,Intentional self-harm,Validated,Maori,All ages,Fatal
M_F01C,2000-02,Moving average,28.66666667,22.60801391,34.72531942,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2001-03,Moving average,28,22.01221112,33.98778888,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2002-04,Moving average,32.33333333,25.89886447,38.76780219,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2003-05,Moving average,38,31.02443706,44.97556294,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2004-06,Moving average,48,40.16014406,55.83985594,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2005-07,Moving average,50,41.99848054,58.00151946,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2006-08,Moving average,51.33333333,43.22582886,59.4408378,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2007-09,Moving average,50,41.99848054,58.00151946,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2008-10,Moving average,49.66666667,41.69186354,57.64146979,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2009-11,Moving average,54.33333333,45.99228499,62.67438168,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2010-12,Moving average,62.33333333,53.39929854,71.26736813,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2011-13,Moving average,79.33333333,69.25438277,89.41228389,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2012-14,Moving average,86,75.50610561,96.49389439,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2013-15,Moving average,86,75.50610561,96.49389439,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2014-16,Moving average,91.66666667,80.8325581,102.5007752,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2015-17,Moving average,106.6666667,94.97969946,118.3536339,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2016-18,Moving average,118.3333333,106.0238163,130.6428503,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2017-19,Moving average,127.6666667,114.8809162,140.4524171,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2018-20,Moving average,133.3333333,120.2669068,146.3997599,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2019-21,Moving average,145.6666667,132.0092816,159.3240517,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F01C,2020-22,Moving average,158.3333333,144.0945251,172.5721416,Injuries,Number,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2000-02,Moving average,530.2205625,418.1296973,642.3114276,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2001-03,Moving average,490.4342601,385.5468378,595.3216824,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2002-04,Moving average,537.9922352,430.9295253,645.054945,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2003-05,Moving average,596.6986039,487.1589147,706.238293,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2004-06,Moving average,709.8313632,593.8309728,825.8317536,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2005-07,Moving average,695.1339413,583.7738685,806.4940141,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2006-08,Moving average,674.2292696,567.5363197,780.9222195,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2007-09,Moving average,605.0210358,508.0022338,702.0398379,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2008-10,Moving average,552.6078585,463.710295,641.505422,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2009-11,Moving average,565.2222401,478.2841088,652.1603714,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2010-12,Moving average,600.5587424,514.3233547,686.7941302,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2011-13,Moving average,716.5494677,625.3191278,807.7798076,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2012-14,Moving average,723.8725617,635.3064203,812.4387031,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2013-15,Moving average,677.3685107,594.4896411,760.2473803,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2014-16,Moving average,676.309038,596.1997355,756.4183405,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2015-17,Moving average,734.3567721,653.68729,815.0262542,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2016-18,Moving average,763.0783573,683.4054209,842.7512937,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2017-19,Moving average,778.9929054,700.5879953,857.3978154,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2018-20,Moving average,766.8745219,691.2271473,842.5218964,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2019-21,Moving average,788.1161305,713.5530312,862.6792299,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F02C,2020-22,Moving average,802.1547472,729.1587001,875.1507943,"Per 100,000 people",Age-standardised rate,Falls,Validated,Maori,75+ years,Serious non-fatal
M_F21C,2000-02,Moving average,31,24.69959728,37.30040272,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2001-03,Moving average,31.66666667,25.29887804,38.03445529,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2002-04,Moving average,38,31.02443706,44.97556294,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2003-05,Moving average,43.66666667,36.18906229,51.14427105,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2004-06,Moving average,55.33333333,46.91587684,63.75078983,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2005-07,Moving average,57,48.45671506,65.54328494,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2006-08,Moving average,59.66666667,50.92582302,68.40751031,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2007-09,Moving average,58.33333333,49.69070453,66.97596214,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
M_F21C,2008-10,Moving average,60.66666667,51.85288008,69.48045325,Injuries,Number,Falls,Validated,Maori,75+ years,Serious
